Ref. Política de Segurança da Informação para Terceiros,ID,DOMÍNIO,QUESTÃO,STATUS,CRITICIDADE DO CONTROLE,INFORMAÇÂO ADICIONAL REQUERIDA,COMENTARIOS DO AVALIADO EVIDENCIANDO OU EXPLICANDO,PONTOS,RECOMENDAÇÕES,Responsavel_IP,Email_Interno
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,1,Privacidade,A empresa mantém um registro atualizado de atividades de tratamentos de dados pessoais (ROPA)?,IMPLEMENTADO,ALTA,INFORMAR A FINALIDADE PARA CARA DADO,"""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,2,Privacidade,"A empresa pode afirmar que realiza o tratamento dos dados com propósitos legítimos, específicos, sem possibilidade de tratamento posterior de forma incompatível com essas finalidades? Caso positivo, justifique.",NÃO IMPLEMENTADO,ALTA,INFORMAR A BASE LEGAL,Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que seja desenvolvida uma política de classificação dos dados,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,3,Privacidade,"A empresa pode afirmar que possui limitação do tratamento dos dados ao mínimo necessário para a realização de suas finalidades, com abrangência dos dados pertinentes, proporcionais e não excessivos em relação às finalidades do tratamento de dados. Caso positivo, justifique.",PARCIALMENTE,ALTA,LISTAR AS INFORMAÇÕES,"""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",10,É recomendável que seja adquirida uma solução para classificação automática das informações,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,4,Privacidade,"Para os dados pessoais compartilhados pela XP, é possível informar quais as finalidades de tratamento associadas?",NÃO IMPLEMENTADO,ALTA,INFORMAR A BASE LEGAL,Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,5,Privacidade,Onde os dados pessoais recebidos da XP no Open Data serão armazenados?,NÃO IMPLEMENTADO,ALTA,LISTAR AS INFORMAÇÕES,Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,6,Privacidade,"Os dados do projeto serão disponibilizados aos assessores/colaboradores? Se sim, em qual aplicação? Informe se a aplicação permite download dos dados (Ex: Relatório, planilha, etc).",NÃO IMPLEMENTADO,ALTA,LISTAR AS INFORMAÇÕES,Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que seja definida qual a finalidade de tratamento de cada informação coletada,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,7,Privacidade,"Como a Empresa é capaz de demonstrar que adotou medidas eficazes e capazes de comprovar a observância e o cumprimento das normas de proteção de dados pessoais e, inclusive, da eficácia dessas medidas?",NÃO IMPLEMENTADO,ALTA,INFORMAR A FINALIDADE PARA CARA DADO,Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que seja classificada uma Base Legal para o tratamento de dados pessoais,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,8,Privacidade,A empresa realiza avaliação de riscos relacionados a privacidade do titular dos dados com objetivo de identificar os possíveis impactos relacionados ao uso dos dados pessoais? (Relatório de Impacto/DPIA),NÃO IMPLEMENTADO,ALTA,INFORMAR A BASE LEGAL,Falta orçamento aprovado para aquisição desta ferramenta.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,9,Privacidade,"A empresa possui publicada e divulgada uma Política de Privacidade, que dê a devida transparência com relação a utilização dos dados dos titulares?",IMPLEMENTADO,ALTA,LISTAR AS INFORMAÇÕES,"""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,10,Privacidade,"A empresa possui uma Política de Privacidade Interna, a qual descreva as diretrizes e procedimentos a serem seguidos pelos colaboradores, de acordo com os possíveis cenários de tratamento de dados pessoais?",NÃO IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,10,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.1 - Ref. Política de Segurança da Informação para Terceiros,11,Privacidade,A empresa possui estruturado um processo para atendimento as demandas dos titulares?,PARCIALMENTE,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","""Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.""",10,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
