,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCORE DO DOMÍNIO,,20,3%,,,,,,TOTAL DE QUESTOES,,13,,,,,,,,,,,,,,,
,,Risco alto: score até 59%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Risco moderado: score entre 60% e 75%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Risco baixo: score igual ou superior a 76%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLEMENTADO,Não aplicavel
,,,,,,,,,,,,,,,,,,,,,,,,,,9,540,540
,,SEGURANÇA EM DESENVOLVIMENTO DE SISTEMAS,,,,,,,,,,,,,,TABELA DE PONTOS,,,,,TABELA PESOS,,,,,4,160,160
,,6.2.5 - Ref. Política de Segurança da Informação para Terceiros,,,,,,,,,,,,,,IMPLEMENTADO,,20,,,ALTA,,3,,,0,0,0
,,#,QUESTÃO ,CRITICIDADE DO CONTROLE,INFORMAÇÂO ADICIONAL REQUERIDA,STATUS,COMENTÁRIO DO AVALIADO,,,,PONTOS,,,,,NÃO IMPLEMENTADO,,0,,,MÉDIA,,2,,,Total,700,700
,,1,A empresa possui uma política/norma/procedimento formalizada de Desenvolvimento Seguro?,MÉDIA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",,,,20,,,,,PARCIALMENTE,,10,,,BAIXA,,1,,,,,
